iter	Passed	Remaining
0	0	93
1	1	83
2	2	77
3	2	70
4	3	70
5	4	68
6	5	68
7	6	72
8	7	71
9	7	69
10	8	68
11	9	67
12	9	66
13	10	64
14	11	63
15	11	61
16	12	60
17	13	59
18	13	58
19	14	57
20	14	56
21	15	55
22	16	54
23	16	53
24	17	52
25	18	52
26	18	51
27	19	50
28	20	49
29	20	48
30	21	48
31	22	47
32	22	46
33	25	50
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	29	44
40	30	44
41	30	42
42	31	41
43	32	41
44	33	41
45	34	40
46	35	39
47	36	39
48	37	38
49	38	38
50	39	37
51	40	37
52	41	36
53	42	36
54	42	35
55	43	34
56	44	33
57	44	32
58	45	31
59	46	30
60	47	30
61	47	29
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	51	24
68	52	23
69	53	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	59	18
76	59	17
77	60	17
78	61	16
79	62	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	66	10
87	67	9
88	68	8
89	69	7
90	69	6
91	70	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	74	0
99	75	0
